_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs
5bc9211ff9af8b0dc677c091,0039,"Sun, 10 Jun 2018 02:17:10 GMT","Mon, 11 Jun 2018 01:13:48 GMT","Sun, 10 Jun 2018 08:31:51 GMT",37.32,2_39_90_26_2018-06-10 02:17:10.482040,0002,CA-316,2-39-90-26,America/Los_Angeles,,
5bc9211ff9af8b0dc677c092,0039,"Sun, 10 Jun 2018 03:41:50 GMT","Sun, 10 Jun 2018 16:38:04 GMT","Sun, 10 Jun 2018 12:55:41 GMT",16.53,2_39_78_365_2018-06-10 03:41:50.483548,0002,CA-321,2-39-78-365,America/Los_Angeles,,
5bc9211ff9af8b0dc677c093,0039,"Sun, 10 Jun 2018 04:25:54 GMT","Sun, 10 Jun 2018 19:13:12 GMT","Sun, 10 Jun 2018 12:26:00 GMT",32.912,2_39_79_381_2018-06-10 04:25:53.919776,0002,CA-490,2-39-79-381,America/Los_Angeles,,
5bc92146f9af8b0dc677c094,0039,"Sun, 10 Jun 2018 14:41:59 GMT","Sun, 10 Jun 2018 18:37:26 GMT","Sun, 10 Jun 2018 18:36:39 GMT",13.955,2_39_139_28_2018-06-10 14:41:59.041902,0002,CA-303,2-39-139-28,America/Los_Angeles,,
5bc92146f9af8b0dc677c095,0039,"Sun, 10 Jun 2018 14:51:55 GMT","Mon, 11 Jun 2018 00:09:40 GMT","Sun, 10 Jun 2018 19:30:07 GMT",28.612,2_39_79_378_2018-06-10 14:51:54.530695,0002,CA-326,2-39-79-378,America/Los_Angeles,,
5bc92146f9af8b0dc677c096,0039,"Sun, 10 Jun 2018 17:28:21 GMT","Mon, 11 Jun 2018 15:03:39 GMT","Sun, 10 Jun 2018 19:40:33 GMT",7.587,2_39_131_30_2018-06-10 17:28:20.627440,0002,CA-305,2-39-131-30,America/Los_Angeles,,
5bc92146f9af8b0dc677c097,0039,"Sun, 10 Jun 2018 18:32:40 GMT","Sun, 10 Jun 2018 22:17:37 GMT","Sun, 10 Jun 2018 22:17:20 GMT",1.62,2_39_79_376_2018-06-10 18:32:39.721355,0002,CA-324,2-39-79-376,America/Los_Angeles,,
5bc92146f9af8b0dc677c098,0039,"Sun, 10 Jun 2018 18:38:57 GMT","Sun, 10 Jun 2018 20:37:37 GMT","Sun, 10 Jun 2018 20:37:33 GMT",12.119,2_39_129_17_2018-06-10 18:38:56.597532,0002,CA-307,2-39-129-17,America/Los_Angeles,,
5bc92146f9af8b0dc677c099,0039,"Sun, 10 Jun 2018 18:39:34 GMT","Sun, 10 Jun 2018 22:00:13 GMT","Sun, 10 Jun 2018 20:01:12 GMT",4.476,2_39_95_27_2018-06-10 18:39:34.422188,0002,CA-319,2-39-95-27,America/Los_Angeles,,
5bc92146f9af8b0dc677c09a,0039,"Sun, 10 Jun 2018 18:43:41 GMT","Sun, 10 Jun 2018 19:15:40 GMT","Sun, 10 Jun 2018 19:15:35 GMT",3.221,2_39_139_28_2018-06-10 18:43:40.913203,0002,CA-303,2-39-139-28,America/Los_Angeles,,
5bc92146f9af8b0dc677c09b,0039,"Sun, 10 Jun 2018 18:45:28 GMT","Sun, 10 Jun 2018 19:16:32 GMT","Sun, 10 Jun 2018 19:16:27 GMT",3.001,2_39_127_19_2018-06-10 18:45:27.679746,0002,CA-309,2-39-127-19,America/Los_Angeles,,
